"Pot.ID","Population","Line","Replicate","Treatment","Soil.Mix.Batch.Number.x","Emergence","DayToBolt","DayToFlwr","FreshWt_g","SatWt_g","DriedWt_g","LeafArea","LeafPerimeter","SLA","LDMC","RWC","LeafNum_.07222021","LeafNum_08262021","NumRemoved_08262021","RosetteLeafNum_10042021","RosetteLeafNum_bolt","RosetteLeafNum_Flower","RosetteLeafNum","DryRosetteG","DryReproG","DryRootG","Root_to_Shoot","Repro_to_Ros","BranchStructure","LatBranches","PrimaryStalks","Height_cm","TotFruit","IJ_FruitCount","FruitCounter","FruitCollected","DoneFlwr","NumFlwrLeft","FruitColWt_mg","SeedColWt_mg","IJ_SeedCount","SeedCounter","AG_biomass","l10_FreshWt","l10_SatWt","l10_DriedWt","SQR_DriedWt","l10_LeafArea","l10_LeafPer","l10_SLA","l10_LDMC","SQR_DryRosG","l10_DryRosG","l10_DryReproG","l10_AG_biomass","l10_R_to_R","l10_IJ_Fruits","AvgSeedWt","l10_IJ_Seeds","SQR_IJ_Seeds","AvgSeedNum","l10_AvgSeedNum","fitness","l10_fitness"
"B12-2-C","BELM","12","2","Current","mix",13,75,14,0.0468,0.0496,0.0038,2.989,11.942,786.578947368421,0.0766129032258065,0.938864628820961,2,8,"n",17,NA,NA,14,0.08191,0.9133,NA,NA,11.1500427298254,"leaning",6,8,52.5,698,345,"TX",10,"n",4,20.63,13.48,496,"CH",0.99521,-1.32975414692588,-1.3045183235098,-2.42021640338319,0.0616441400296898,0.475525915039281,1.07707706684576,2.89574231842247,-1.11569807987339,0.286199231305746,-1.08666307406738,-0.0393865423520912,-0.00208526878368283,1.04727653171529,2.53781909507327,0.0271774193548387,2.6954816764902,22.2710574513201,49.6,1.6954816764902,17112,4.23330077156347
"B12-2-CF","BELM","12","2","Current/Future","2",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B12-2-F","BELM","12","2","Future","5",5,76,15,0.0221,0.0273,0.0034,1.255,6.84,369.117647058824,0.124542124542125,0.782426778242678,8,17,"n",28,NA,NA,26,0.08423,0.29186,NA,NA,3.46503621037635,"broken",8,10,23.5,173,185,"TM",9,"n",16,20.14,13.88,494,"SB",0.37609,-1.65560772631489,-1.56383735295924,-2.46852108295775,0.058309518948453,0.0986437258170569,0.835056101720116,2.5671648087748,-0.904683729998501,0.290224051380998,-1.07453319930846,-0.534825421865841,-0.42470821404518,0.539707777442621,2.26717172840301,0.0280971659919028,2.69372694892365,22.2261107708929,54.8888888888889,1.73948443948432,10154.4444444444,4.00665616788734
"B13-1-C","BELM","13","1","Current","5",18,73,12,0.0755,0.0844,0.0055,4.626,15.178,841.090909090909,0.0651658767772512,0.887198986058302,4,8,"n",16,NA,NA,16,0.11991,0.9473,NA,NA,7.90009173546827,"bent",6,13,59,696,220,"TM",10,"n",14,16.4,10.64,474,"EA",1.06721,-1.12205304837081,-1.07365755337434,-2.25963731050576,0.0741619848709566,0.665205628434601,1.18121454849041,2.92484293894036,-1.18597975713141,0.346280233337105,-0.921144597020233,-0.02351246269481,0.0282498860294376,0.897632134325423,2.34242268082221,0.0224472573839662,2.67577834167409,21.7715410570772,47.4,1.67577834167409,10428,4.01820102249629
"B13-1-CF","BELM","13","1","Current/Future","7",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13-1-F","BELM","13","1","Future","8",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13-2-C","BELM","13","2","Current","7",5,85,13,0.118,0.1314,0.0088,5.611,17.477,637.613636363636,0.0669710806697108,0.890701468189233,6,12,"n",23,NA,NA,21,0.17217,1.7123,NA,NA,9.94540279955858,"bent",10,10,66,932,824,"TM",10,"n",6,15.66,9.71,418,"CC",1.88447,-0.928117992693875,-0.881404634776238,-2.05551732784983,0.0938083151964686,0.749040268703457,1.24246688623534,2.80455759655329,-1.17411269307359,0.414933729648483,-0.764042520533379,0.233579856679016,0.275189228048206,0.997622377212395,2.91592721169712,0.0232296650717703,2.62117628177504,20.4450483002609,41.8,1.62117628177504,34443.2,4.53710349347215
"B13-2-CF","BELM","13","2","Current/Future","3",7,76,9,0.0211,0.0265,0.0023,1.212,6.391,526.95652173913,0.0867924528301887,0.776859504132231,4,10,"n",18,NA,NA,19,0.03527,0.27618,NA,NA,7.83045080805217,"bent",8,2,42,260,259,"TM",9,"n",NA,14.71,9.99,410,"SB",0.31145,-1.67571754470231,-1.57675412606319,-2.63827216398241,0.0479583152331272,0.0835026198302674,0.805568817548556,2.72177478381267,-1.06151803791922,0.187803088366512,-1.45259454033251,-0.558807774722382,-0.50661166478984,0.893786765610128,2.41329976408125,0.0243658536585366,2.61278385671974,20.2484567313166,45.5555555555556,1.65854134728041,11798.8888888889,4.07184111136166
"B13-2-F","BELM","13","2","Future","5",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B15-1-C","BELM","15","1","Current","6",5,81,13,0.1776,0.1971,0.0123,8.495,18.239,690.650406504065,0.0624048706240487,0.89448051948052,6,15,"n",25,NA,NA,24,0.22981,1.9204,NA,NA,8.35646838692833,"bent",9,13,66,1201,948,"TX",10,"n",1,18.88,11.87,531,"CC",2.15021,-0.750557038557418,-0.705313375720557,-1.9100948885606,0.110905365064094,0.929163383205064,1.2610010233352,2.83925827176567,-1.20478151284005,0.47938502271139,-0.638631077256403,0.283391697297128,0.332480877305115,0.922022774553531,2.97680833733807,0.0223540489642185,2.72509452108147,23.0434372436058,53.1,1.72509452108147,50338.8,4.70190285841954
