"PotID","Treatment","Population","Line","Replicate","Chamber","Flat","Transplanted","DaysToEmergence","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest","NumEmerged","LeafNumber_PreVern","LeafNumber_Jun6","LeafNumber_Jun13","SL_FreshWt","SL_HydWt","SL_DryWt","SL_Area","SL_Perim","LeafNumber_Total","LeafNumber_Rosette","LeafNumber_UnderLeaves","AG_DryBiomass","BG_DryBiomass","Stomata_avg","SLA","LDMC","RWC","Root_to_Shoot","Stomata_density","l10_DaysToEmergence","l10_SL_FreshWt","l10_SL_HydWt","SQR_SL_HydWt","SQR_SL_DryWt","SQR_SL_Area","l10_SLA","l10_LDMC","l10_LeafNumber_Total","l10_LeafNumber_Rosette","SQR_LeafNumber_UnderLeaves","SQR_AG_DryBiomass","l10_AG_DryBiomass","SQR_BG_DryBiomass","l10_Root_to_Shoot","l10_Stomata_avg","l10_Stomata_density"
"R21-4-C","Current","R",21,"4","2","Current4","no",5,88,5,0,4,8,23,27,0.1139,0.1372,0.0148,3.653,10.425,81,48,33,0.6172,0.077,41,246.824324324324,0.107871720116618,0.809640522875817,0.124756966947505,599.461946350592,0.698970004336019,-0.9434762759209,-0.862645888629267,0.370405183549043,0.121655250605964,1.91128229207514,2.39238795681696,-0.967092395975775,1.90848501887865,1.68124123737559,5.74456264653803,0.785620773656094,-0.209574082608889,0.277488738510232,-0.903935192218629,1.61278385671974,2.77776161943738
"R21-4-F","Future","R",21,"4","2","Future3","no",4,86,3,1,1,8,21,29,0.051,0.0687,0.0112,1.87,7.027,56,49,6,0.4411,0.0445,49,166.964285714286,0.163027656477438,0.692173913043478,0.100884153253231,716.430131004367,0.602059991327962,-1.29242982390206,-1.16304326294045,0.262106848441623,0.105830052442584,1.36747943311773,2.22262358386632,-0.787738714389369,1.7481880270062,1.69019608002851,2.44948974278318,0.664153596692813,-0.355462942221593,0.21095023109729,-0.996177046797476,1.69019608002851,2.85517384274616
"R29-1-C","Current","R",29,"1","1","Current1","no",5,87,5,0,3,8,20,26,0.0571,0.0667,0.0078,2.053,7.232,66,41,25,0.5386,0.0625,33.5,263.205128205128,0.116941529235382,0.837011884550085,0.116041589305607,489.804273237679,0.698970004336019,-1.24336389175415,-1.17587416608345,0.258263431402899,0.0883176086632785,1.43282936876657,2.42029434668011,-0.932031231226069,1.81954393554187,1.61278385671974,5,0.733893725276351,-0.268733650924508,0.25,-0.935386331731416,1.52504480703685,2.69002256975449
"R29-1-F","Future","R",29,"1","1","Future1","no",4,87,3,1,3,9,22,31,0.0457,0.051,0.0104,1.603,6.813,74,55,19,0.4168,0.0554,45,154.134615384615,0.203921568627451,0.869458128078818,0.132917466410749,657.94603867748,0.602059991327962,-1.34008379993015,-1.29242982390206,0.225831795812724,0.101980390271856,1.26609636284131,2.18790018305536,-0.690536836799156,1.86923171973098,1.74036268949424,4.35889894354067,0.645600495662759,-0.380072289708532,0.235372045918796,-0.876417945563038,1.65321251377534,2.81819027649299
"R29-2-C","Current","R",29,"2","1","Current1","no",4,88,5,0,3,7,17,20,0.0933,0.1087,0.012,3.095,8.528,68,39,29,0.4728,0.0582,33,257.916666666667,0.110395584176633,0.840744570837642,0.123096446700508,482.493761696818,0.602059991327962,-1.0301183562535,-0.963770455913705,0.329696830436691,0.109544511501033,1.75926120857592,2.41147940730851,-0.95704829803867,1.83250891270624,1.5910646070265,5.3851648071345,0.687604537506843,-0.325322532126801,0.241246761636296,-0.90975448322331,1.51851393987789,2.68349170259554
"R29-2-F","Future","R",29,"2","1","Future1","no",4,90,6,0,5,8,18,30,0.0659,0.077,0.0123,2.371,8.126,65,52,13,0.462,0.0577,34,192.764227642276,0.15974025974026,0.828438948995363,0.124891774891775,497.11478477854,0.602059991327962,-1.18111458540599,-1.11350927482752,0.277488738510232,0.110905365064094,1.53980518248251,2.28502644253879,-0.796585613733084,1.81291335664286,1.7160033436348,3.60555127546399,0.679705818718657,-0.335358024443874,0.240208242989286,-0.903466162400394,1.53147891704226,2.6964566797599
"R29-3-C","Current","R",29,"3","2","Current3","no",4,85,4,2,4,9,24,26,0.0896,0.0989,0.0122,2.62,8.096,75,44,31,0.4033,0.0683,34.5,214.754098360656,0.123356926188069,0.892733564013841,0.16935283907761,504.425296319401,0.602059991327962,-1.04769199033787,-1.00480370840282,0.314483703870328,0.110453610171873,1.61864140562386,2.331941460645,-0.908836460922431,1.8750612633917,1.64345267648619,5.56776436283002,0.635059052372297,-0.394371777992381,0.26134268690744,-0.771207518326086,1.53781909507327,2.70279685779092
"R29-3-F","Future","R",29,"3","2","Future3","no",4,86,3,1,3,8,19,25,0.0491,0.0624,0.0083,1.843,7.595,75,53,22,0.4552,0.0525,45.5,222.048192771084,0.133012820512821,0.754158964879852,0.115333919156415,665.25655021834,0.602059991327962,-1.30891850787703,-1.20481541031758,0.249799919935936,0.091104335791443,1.35757136092362,2.346447242843,-0.87610649730635,1.8750612633917,1.72427586960079,4.69041575982343,0.67468511173732,-0.341797746612985,0.229128784747792,-0.938042949981058,1.65801139665711,2.82298915937476
"R29-4-C","Current","R",29,"4","2","Current4","no",4,92,10,1,3,7,16,21,0.0518,0.0573,0.0072,1.88,7.339,79,40,39,0.5948,0.0844,40.5,261.111111111111,0.12565445026178,0.890219560878243,0.141896435776732,592.151434809732,0.602059991327962,-1.28567024025477,-1.24184537803261,0.239374184071716,0.0848528137423857,1.37113092008021,2.41682535283241,-0.900822125536122,1.89762709129044,1.60205999132796,6.2449979983984,0.771232779386354,-0.225629040150083,0.290516780926679,-0.848028513224262,1.60745502321467,2.77243278593232
"R29-4-F","Future","R",29,"4","2","Future4","no",4,86,3,1,5,8,24,35,0.0485,0.0619,0.0086,1.826,7.504,77,50,27,0.4115,0.0478,40,212.325581395349,0.138933764135703,0.74859287054409,0.116160388821385,584.840923268871,0.602059991327962,-1.31425826139774,-1.20830935097988,0.248797106092495,0.092736184954957,1.35129567452871,2.32700232195471,-0.85719219777655,1.88649072517248,1.69897000433602,5.19615242270663,0.641482657598785,-0.385630160451711,0.218632111090754,-0.93494194293617,1.60205999132796,2.76703775404561
