"PotID","Treatment","Line.x","Chamber","Flat","BoltingDate","HarvestDate","SingleLeaf_FreshWt.g.","TotalLeafNumber","RosetteLeafNumber","UnderLeavesNumber","LongestRootLength_cm","SingleLeafHydratedWt.g.","RootHarvestDate","Notes.x","LeafNumber_6.6.2022","LeafNumber_6.13.2022","AG_DryBiomass.g.","BG_DryBiomass.g.","SingleLeafDryWt.g.","Notes.","Label","Area","Perim.","Population","Line.y","Replicate","Emergence.Date","Leaf.Number.PreVern..post.transplant","transplanted","transplant_notes","Number.Emerged","Notes.y","Stom_avg","Emergence","Bolting","Harvest","RootHarvest","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest"
"R11-1-F","Future",11,1,"Future1","7/20/2022","7/20/2022",0.0706,95,76,19,18.9,0.0836,"7/26/2022","",22,31,0.7388,0.0813,0.0144,"6/13= has new leaf growing underneath to the back when looking top to bottom ","R11-1-F_07202022.jpeg",2.63,8.802,"R",11,"1","4/14/2022",10,"no","no",6,"",49.5,3,100,100,106,97,6,0
"R11-2-C","Current",11,1,"Current2","7/16/2022","7/17/2022",0.0898,105,59,46,21.3,0.098,"7/20/2022","SB, tons of small leaves around the bottom, single leaf in fridge around ~21hrs ",20,29,0.5484,0.0481,0.0146,"6/13- has two new shoot and new little leaf growing underneath center and left (T to B)","R11-2-C_07162022.jpeg",2.996,9.466,"R",11,"2","4/16/2022",8,"no","no",2,"",45,5,96,97,100,91,4,1
"R11-2-F","Future",11,1,"Future2","7/21/2022","7/21/2022",0.074,93,74,19,15.1,0.0856,"7/26/2022","single leaf left in fridge over weekend ",26,36,0.6933,0.0755,0.0137,"6/13= has a ton of new leaves growing underneath, very little. ","R11-2-F_07212022.jpeg",2.78,9.224,"R",11,"2","4/14/2022",11,"no","no",5,"",53,3,101,101,106,98,5,0
"R11-3-C","Current",11,2,"Current3","7/17/2022","7/17/2022",0.0989,137,61,76,17.3,0.1081,"7/26/2022","tons of small leaves around the bottom, roots were very dense and not fully clean as I started to lose some cleaning more, single leaf in fridge around ~21hrs ",25,34,0.9499,0.0795,0.0165,"Has newshoot to the left underneath when looking from top to bottom at tray. 6/13= has lots of new leaves around bottom","R11-3-C_07172022.jpeg",2.976,9.629,"R",11,"3","4/15/2022",10,"no","no",4,"",42.5,4,97,97,106,93,9,0
"R11-3-F","Future",11,2,"Future4","7/29/2022","7/29/2022",0.0691,120,77,43,20,NA,"7/29/2022","skipped rehydrated leaf weight due to time",19,32,0.6392,0.0728,0.0116,"6/13= has new leaf forming underneath on the center and right when looking top to bottom ","R11-3-F_07292022.jpeg",2.289,8.088,"R",11,"3","4/15/2022",8,"no","no",5,"",49.5,4,109,109,109,105,0,0
"R11-4-C","Current",11,2,"Current4","7/20/2022","7/20/2022",0.0917,93,51,42,17.6,0.1054,"7/26/2022","lost a tiny bit of roots at the end ~1cm",17,19,0.6646,0.0522,0.0128,"6/13= has new leaf underneath center when looking top to bottom ","R11-4-C_07202022.jpeg",3.208,9.622,"R",11,"4","4/15/2022",9,"no","no",6,"",40,4,100,100,106,96,6,0
"R11-4-F","Future",11,2,"Future3","7/26/2022","7/26/2022",0.0537,108,76,32,16,0.0619,"7/26/2022","single leaf left for ~38 hrs ",25,36,0.6828,0.0858,0.0105,"Has a new shoot on the left underneath when looking top to bottom at tray. 6/13= bigger, and in the back now","R11-4-F_07262022.jpeg",1.859,7.857,"R",11,"4","4/14/2022",10,"no","no",5,"",57,3,106,106,106,103,0,0
"R2-1-C","Current",2,1,"Current2","7/7/2022","7/7/2022",0.0588,57,NA,NA,18.7,0.0659,"7/7/2022","SB harvested root",24,31,0.3423,0.0464,0.0072,"Has new shoot to the right underneath wne looking top to bottom at tray. ","R2-1-C_07072022.jpeg",2.074,7.567,"R",2,"1","4/15/2022",8,"no","no",4,"",34.5,4,87,87,87,83,0,0
"R2-1-F","Future",2,1,"Future2","7/8/2022","7/8/2022",0.0417,95,52,43,19.3,0.05,"7/8/2022","",29,40,0.4125,0.0462,0.0091,"Has a side shoot growing to the right when looking at the tray from Top to bottom. 6/13= also back, much bigger","R2-1-F_07082022.jpeg",1.566,6.911,"R",2,"1","4/15/2022",10,"no","no",4,"",34,4,88,88,88,84,0,0
"R2-2-C","Current",2,1,"Current1","7/7/2022","7/7/2022",0.0554,66,NA,NA,20.5,0.0639,"7/7/2022","",26,35,0.3368,0.0396,0.007,"Has new shoot in center undereath when looking top to bottom.","R2-2-C_07072022.jpeg",1.974,7.114,"R",2,"2","4/15/2022",9,"no","no",4,"",42.5,4,87,87,87,83,0,0
"R2-2-F","Future",2,1,"Future1","7/12/2022","7/12/2022",0.0572,82,51,31,24.2,0.0689,"7/15/2022","",25,36,0.4897,0.0529,0.0108,"6/13= has new leaf growing underneath to the back when looking top to bottom ","R2-2-F_07122022.jpeg",1.981,7.593,"R",2,"2","4/14/2022",10,"no","no",5,"",46,3,92,92,95,89,3,0
"R2-3-C","Current",2,2,"Current4","7/11/2022","7/12/2022",0.128,103,48,55,19.1,0.1415,"7/14/2022","",27,33,0.6168,0.0786,0.0153,"Has new shoot in center and back when looing top to bottom at tray. 6/13= looks bigger","R2-3-C_07112022.jpeg",3.808,10.663,"R",2,"3","4/16/2022",8,"no","no",3,"",43.5,5,91,92,94,86,3,1
"R2-3-F","Future",2,2,"Future4","7/11/2022","7/12/2022",0.0622,81,51,30,16.7,0.0751,"7/14/2022","lost a tiny bit of roots at the end ~1cm",25,35,0.4774,0.0499,0.0105,"Has a new shoot to the left when looking top to bottom at tray. 6/13= bigger and to the right","R2-3-F_07112022.jpeg",2.324,7.68,"R",2,"3","4/15/2022",10,"no","no",4,"",32.5,4,91,92,94,87,3,1
"R2-4-C","Current",2,2,"Current3","7/9/2022","7/11/2022",0.1041,98,44,54,16.5,0.1209,"7/13/2022","SB harvested root",21,31,0.574,0.0726,0.0145,"Has new shoot to the right underneath wne looking top to bottom at tray. 6/13= signifcantly bigger","R2-4-C_07092022.jpeg",3.257,8.945,"R",2,"4","4/16/2022",8,"no","no",4,"",38.5,5,89,91,93,84,4,2
"R2-4-F","Future",2,2,"Future4","7/10/2022","7/11/2022",0.0614,63,54,8,17.2,0.0765,"7/13/2022","SB harvested root",21,31,0.4452,0.0548,0.0098,"","R2-4-F_07102022.jpeg",2.302,7.873,"R",2,"4","4/15/2022",8,"no","no",4,"",39.5,4,90,91,93,86,3,1
"R21-1-C","Current",21,1,"Current2","7/10/2022","7/11/2022",0.1329,81,49,32,17.2,0.1558,"7/14/2022","",22,28,0.5599,0.0736,0.015,"Has new shoot in center undereath when looking top to bottom. (looks bigger on 6/13)","R21-1-C_07102022.jpeg",3.96,11.028,"R",21,"1","4/16/2022",8,"no","no",1,"",43,5,90,91,94,85,4,1
"R21-1-F","Future",21,1,"Future2","7/7/2022","7/7/2022",0.038,66,NA,NA,15.9,0.0471,"7/7/2022","",22,32,0.4128,0.0468,0.0074,"6/13= has new leaf underneath center when looking top to bottom ","R21-1-F_07072022.jpeg",1.434,6.05,"R",21,"1","4/14/2022",8,"no","no",2,"",48,3,87,87,87,84,0,0
"R21-2-C","Current",21,1,"Current1","7/9/2022","7/11/2022",0.0762,56,39,17,16,0.0862,"7/13/2022","SB harvested root",17,20,0.3549,0.0487,0.0105,"","R21-2-C_07092022.jpeg",2.6,8.672,"R",21,"2","4/16/2022",8,"no","no",2,"",33.5,5,89,91,93,84,4,2
"R21-2-F","Future",21,1,"Future1","7/14/2022","7/14/2022",0.0575,56,52,4,16.1,0.07,"","",20,30,0.5162,0.0482,0.0113,"6/13= has new leaf underneath center when looking top to bottom ","R21-2-F_07142022.jpeg",2.203,7.58,"R",21,"2","4/15/2022",9,"no","no",3,"",46,4,94,94,NA,90,NA,0
"R21-3-C","Current",21,2,"Current3","7/11/2022","7/12/2022",0.1001,81,42,39,15.4,0.1127,"7/14/2022","",18,22,0.467,0.0578,0.012,"Has new shoot in center undereath when looking top to bottom.","R21-3-C_07112022.jpeg",3.113,8.783,"R",21,"3","4/16/2022",7,"no","no",2,"",45.5,5,91,92,94,86,3,1
"R21-3-F","Future",21,2,"Future3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",5,5,NA,NA,NA,"Counted the larger right one at the time. Left the smaller one at the back-left. ",NA,NA,NA,"R",21,"3","4/16/2022",4,"no","no",2,"kept both",NA,5,NA,NA,NA,NA,NA,NA
"R21-4-C","Current",21,2,"Current4","7/13/2022","7/13/2022",0.1139,81,48,33,19.9,0.1372,"7/18/2022","",23,27,0.6172,0.077,0.0148,"Has new shoot in back underneath when looking top to bottom at tray. (looks bigger on 6/13)","R21-4-C_07132022.jpeg",3.653,10.425,"R",21,"4","4/16/2022",8,"no","no",4,"",41,5,93,93,98,88,5,0
"R21-4-F","Future",21,2,"Future3","7/10/2022","7/11/2022",0.051,56,49,6,16.9,0.0687,"7/13/2022","",21,29,0.4411,0.0445,0.0112,"","R21-4-F_07102022.jpeg",1.87,7.027,"R",21,"4","4/15/2022",8,"no","no",1,"",49,4,90,91,93,86,3,1
"R29-1-C","Current",29,1,"Current1","7/12/2022","7/12/2022",0.0571,66,41,25,15.5,0.0667,"7/17/2022","",20,26,0.5386,0.0625,0.0078,"Has new shoot in center undereath when looking top to bottom.","R29-1-C_07122022.jpeg",2.053,7.232,"R",29,"1","4/16/2022",8,"no","no",3,"",33.5,5,92,92,97,87,5,0
"R29-1-F","Future",29,1,"Future1","7/11/2022","7/12/2022",0.0457,74,55,19,19.5,0.051,"7/14/2022","",22,31,0.4168,0.0554,0.0104,"6/13= has new leaf forming underneath on the right and back when looking top to bottom ","R29-1-F_07112022.jpeg",1.603,6.813,"R",29,"1","4/15/2022",9,"no","no",3,"",45,4,91,92,94,87,3,1
"R29-2-C","Current",29,1,"Current1","7/12/2022","7/12/2022",0.0933,68,39,29,16.8,0.1087,"7/17/2022","",17,20,0.4728,0.0582,0.012,"","R29-2-C_07122022.jpeg",3.095,8.528,"R",29,"2","4/15/2022",7,"no","no",3,"",33,4,92,92,97,88,5,0
"R29-2-F","Future",29,1,"Future1","7/14/2022","7/14/2022",0.0659,65,52,13,20.6,0.077,"7/20/2022","SB harvested root",18,30,0.462,0.0577,0.0123,"","R29-2-F_07142022.jpeg",2.371,8.126,"R",29,"2","4/15/2022",8,"no","no",5,"",34,4,94,94,100,90,6,0
"R29-3-C","Current",29,2,"Current3","7/9/2022","7/11/2022",0.0896,75,44,31,22.4,0.0989,"7/13/2022","SB harvested root: not fully clean after 40 min ",24,26,0.4033,0.0683,0.0122,"Has newshoot to the left underneath when looking from top to bottom at tray. ","R29-3-C_07092022.jpeg",2.62,8.096,"R",29,"3","4/15/2022",9,"no","no",4,"",34.5,4,89,91,93,85,4,2
"R29-3-F","Future",29,2,"Future3","7/10/2022","7/11/2022",0.0491,75,53,22,17.3,0.0624,"7/13/2022","did not notice any root loss but seemed to be missing some at the top ",19,25,0.4552,0.0525,0.0083,"","R29-3-F_07102022.jpeg",1.843,7.595,"R",29,"3","4/15/2022",8,"no","no",3,"",45.5,4,90,91,93,86,3,1
"R29-4-C","Current",29,2,"Current4","7/16/2022","7/17/2022",0.0518,79,40,39,21,0.0573,"7/26/2022","lost tiny amount of roots, single leaf in fidge around ~21hrs ",16,21,0.5948,0.0844,0.0072,"Has new shoot in center undereath when looking top to bottom. 6/13= looks bigger","R29-4-C_07162022.jpeg",1.88,7.339,"R",29,"4","4/15/2022",7,"no","no",3,"",40.5,4,96,97,106,92,10,1
"R29-4-F","Future",29,2,"Future4","7/10/2022","7/11/2022",0.0485,77,50,27,22.5,0.0619,"7/13/2022","SB harvested root",24,35,0.4115,0.0478,0.0086,"Has a new shoot to the left of the center looking top to bottom. 6/13= more little ones, bigger old ones.","R29-4-F_07102022.jpeg",1.826,7.504,"R",29,"4","4/15/2022",8,"no","no",5,"",40,4,90,91,93,86,3,1
"R35-1-C","Current",35,1,"Current2","7/8/2022","7/8/2022",0.0948,82,45,37,18.1,0.1062,"7/9/2022","",24,30,0.4854,0.0531,0.0112,"Has newshoot to the left underneath when looking from top to bottom at tray. ","R35-1-C_07082022.jpeg",2.997,9.277,"R",35,"1","4/15/2022",10,"no","no",3,"",40.5,4,88,88,89,84,1,0
"R35-1-F","Future",35,1,"Future2","7/5/2022","7/5/2022",0.0642,79,NA,NA,18.1,0.0735,"7/6/2022","",25,37,0.4197,0.0463,0.0111,"Has a new shoot forming on the center looking at the top label of the tray. 6/13= to the left and back ","R35-1-F_07052022.jpeg",2.227,8.188,"R",35,"1","4/15/2022",10,"no","no",5,"",43.5,4,85,85,86,81,1,0
"R35-2-C","Current",35,1,"Current1","7/24/2022","7/25/2022",0.1392,134,55,79,13.5,0.1586,"7/26/2022","",26,31,1.0045,0.1116,0.0175,"Has new shoot in center undereath when looking top to bottom.","R35-2-C_07242022.jpeg",4.677,12.925,"R",35,"2","4/15/2022",9,"no","no",4,"",43,4,104,105,106,100,2,1
"R35-2-F","Future",35,1,"Future1","7/12/2022","7/12/2022",0.0495,51,46,5,15.9,0.0625,"7/17/2022","",21,29,0.4178,0.0393,0.0118,"6/13= has new leaf forming underneath on the center and right when looking top to bottom ","R35-2-F_07122022.jpeg",1.717,6.551,"R",35,"2","4/15/2022",8,"no","no",4,"",42,4,92,92,97,88,5,0
"R35-3-C","Current",35,2,"Current3","7/11/2022","7/12/2022",0.0718,84,38,46,18.2,0.0806,"7/14/2022","",22,28,0.3008,0.0409,0.0078,"Has new shoot to the right underneath when looking top to bottom at tray. 6/13= new shoot to left as well, bigger on right","R35-3-C_07112022.jpeg",2.477,8.354,"R",35,"3","4/16/2022",8,"no","no",3,"",41.5,5,91,92,94,86,3,1
"R35-3-F","Future",35,2,"Future4","7/12/2022","7/12/2022",0.0442,78,42,36,17,0.0574,"7/17/2022","",31,44,0.4078,0.0405,0.0095,"Has new shots forming in the front and back when looking top to bottom. 6/13= looks bigger, lots of leaves","R35-3-F_07122022.jpeg",1.558,6.477,"R",35,"3","4/15/2022",8,"no","no",5,"",37.5,4,92,92,97,88,5,0
"R35-4-C","Current",35,2,"Current3","7/11/2022","7/12/2022",0.0812,75,44,31,15.1,0.0914,"7/15/2022","",23,29,0.4777,0.0703,0.0099,"Has new shoot to the right underneath when looking top to bottom at tray. 6/13= signifcantly bigger","R35-4-C_07112022.jpeg",2.625,8.269,"R",35,"4","4/15/2022",9,"no","no",3,"",49,4,91,92,95,87,4,1
"R35-4-F","Future",35,2,"Future3","7/10/2022","7/11/2022",0.0925,74,56,18,16.9,0.1164,"7/13/2022","SB harvested root",26,36,0.4867,0.0604,0.0155,"Has new shoot coming out of right underneath when looking top to bottom at tray. 6/13= looks bigger","R35-4-F_07102022.jpeg",3.174,9.215,"R",35,"4","4/15/2022",10,"no","no",3,"",39,4,90,91,93,86,3,1
"R40-1-C","Current",40,1,"Current2","7/10/2022","7/11/2022",0.0642,96,42,54,14.4,0.0765,"7/14/2022","",17,20,0.4655,0.0602,0.0084,"","R40-1-C_07102022.jpeg",2.216,7.628,"R",40,"1","4/16/2022",7,"no","no",4,"",41,5,90,91,94,85,4,1
"R40-1-F","Future",40,1,"Future2","7/14/2022","7/14/2022",0.0506,75,48,27,15.3,0.0619,"7/20/2022","SB harvesed root",25,32,0.4857,0.0446,0.012,"Has some bottom small leaves underneath bigger top leaves. May become a side shoot. 6/13= bigger, to the left","R40-1-F_07142022.jpeg",1.756,6.975,"R",40,"1","4/15/2022",8,"no","no",6,"( 1 maybe not A. thal)",49,4,94,94,100,90,6,0
"R40-2-C","Current",40,1,"Current1","7/8/2022","7/8/2022",0.0335,54,36,18,16.8,0.0396,"7/13/2022","",16,20,0.2731,0.0377,0.013,"","R40-2-C_07082022.jpeg",1.401,5.679,"R",40,"2","4/16/2022",7,"no","no",4,"",31,5,88,88,93,83,5,0
"R40-2-F","Future",40,1,"Future1","7/7/2022","7/7/2022",0.0431,56,NA,NA,17.1,0.0577,"7/7/2022","",20,31,0.3488,0.0414,0.01,"6/13= has new leaf growing underneath to the back when looking top to bottom ","R40-2-F_07072022.jpeg",1.597,6.14,"R",40,"2","4/16/2022",9,"no","no",4,"",61.5,5,87,87,87,82,0,0
"R40-3-C","Current",40,2,"Current3","7/10/2022","7/11/2022",0.108,78,47,31,19.6,0.127,"7/14/2022","",20,27,0.5224,0.0641,0.0131,"6/13= has new leaf forming underneath on the right when looking top to bottom ","R40-3-C_07102022.jpeg",3.422,9.699,"R",40,"3","4/16/2022",9,"no","no",1,"",31.5,5,90,91,94,85,4,1
"R40-3-F","Future",40,2,"Future4","7/7/2022","7/7/2022",0.0384,81,NA,NA,18.2,0.0447,"7/7/2022","has a lot of small ones from the side/bottom ",24,36,0.3508,0.0449,0.008,"Has new shoot underneath in the center when looking top to bottom at tray. 6/13= bigger, and to the left","R40-3-F_07072022.jpeg",1.36,6.113,"R",40,"3","4/16/2022",9,"no","no",4,"",46,5,87,87,87,82,0,0
"R40-4-C","Current",40,2,"Current4","7/13/2022","7/13/2022",0.076,59,37,22,16.6,0.0898,"7/18/2022","",16,19,0.3677,0.0448,0.0094,"","R40-4-C_07132022.jpeg",2.614,8.397,"R",40,"4","4/16/2022",7,"no","no",3,"",39,5,93,93,98,88,5,0
"R40-4-F","Future",40,2,"Future3","7/12/2022","7/12/2022",0.0535,88,55,33,16.5,0.0609,"7/17/2022","corrected ",25,34,0.4597,0.0592,0.0075,"Has new shoot to the right underneath bigger leaves looking top to bottom. 6/13- looks bigger, some new","R40-4-F_07122022.jpeg",1.865,8.342,"R",40,"4","4/16/2022",8,"no","no",2,"",43.5,5,92,92,97,87,5,0
"R47-1-C","Current",47,1,"Current2","7/13/2022","7/13/2022",0.0545,67,38,29,16.8,0.0628,"7/18/2022","",16,18,0.4192,0.053,0.0073,"Has new shoot in center undereath when looking top to bottom.","R47-1-C_07132022.jpeg",1.994,7.318,"R",47,"1","4/18/2022",6,"no","no",2,"",37,7,93,93,98,86,5,0
"R47-1-F","Future",47,1,"Future2","7/9/2022","7/11/2022",0.0532,54,50,4,16.1,0.0703,"7/13/2022","SB harvested root",18,24,0.4311,0.061,0.01,"","R47-1-F_07092022.jpeg",2.123,7.85,"R",47,"1","4/16/2022",8,"no","no",1,"",36.5,5,89,91,93,84,4,2
"R47-2-C","Current",47,1,"Current2","7/12/2022","7/12/2022",0.0704,55,38,17,16.8,0.0829,"7/17/2022","",15,19,0.2987,0.0366,0.0082,"6/13- Has new leaf growing underneath to the right looking top to bottom.","R47-2-C_07122022.jpeg",2.502,8.93,"R",47,"2","4/17/2022",7,"no","no",3,"",34.5,6,92,92,97,86,5,0
"R47-2-F","Future",47,1,"Future2","7/5/2022","7/5/2022",0.0516,61,NA,NA,20,0.0631,"7/6/2022","",20,30,0.3402,0.0433,0.0099,"6/13= has a few new little leaves forming underneath around bottom ","R47-2-F_07052022.jpeg",1.953,7.674,"R",47,"2","4/14/2022",8,"no","no",5,"",44,3,85,85,86,82,1,0
"R47-3-C","Current",47,2,"Current4","7/14/2022","7/14/2022",0.0545,62,35,27,17.3,0.0633,"7/20/2022","SB harvested root",13,16,0.3756,0.049,0.0078,"6/13= has new leaves around bottom at several locations underneath ","R47-3-C_07142022.jpeg",2.045,6.744,"R",47,"3","4/16/2022",6,"no","no",3,"",36.5,5,94,94,100,89,6,0
"R47-3-F","Future",47,2,"Future4","7/14/2022","7/14/2022",0.0497,66,54,12,16.3,0.0592,"7/20/2022","SB harvested root, fragile roots",18,25,0.4273,0.0438,0.0094,"","R47-3-F_07142022.jpeg",1.937,7.151,"R",47,"3","4/16/2022",8,"no","no",2,"",38,5,94,94,100,89,6,0
"R47-4-C","Current",47,2,"Current4","7/12/2022","7/12/2022",0.0633,83,44,39,16.6,0.0752,"7/17/2022","",17,21,0.5042,0.0668,0.0078,"","R47-4-C_07122022.jpeg",2.106,7.631,"R",47,"4","4/17/2022",4,"no","no",2,"kept both",41.5,6,92,92,97,86,5,0
"R47-4-F","Future",47,2,"Future3","7/23/2022","7/25/2022",0.0441,86,51,35,17.5,0.0576,"7/26/2022","",11,17,0.3524,0.0398,0.0076,"","R47-4-F_07232022.jpeg",1.839,8.091,"R",47,"4","4/18/2022",4,"no","no",2,"kept both, 1 as of 6/6/22",39.5,7,103,105,106,96,3,2
"R8-1-C","Current",8,1,"Current1","7/10/2022","7/11/2022",0.0772,73,41,32,19.2,0.0856,"7/13/2022","SB harvested root",19,21,0.414,0.0528,0.01,"","R8-1-C_07102022.jpeg",2.696,8.912,"R",8,"1","4/15/2022",8,"no","no",5,"",42.5,4,90,91,93,86,3,1
"R8-1-F","Future",8,1,"Future1","7/11/2022","7/12/2022",0.0669,73,52,21,17.8,0.0841,"7/14/2022","",21,31,0.4305,0.049,0.0118,"6/13= has new leaf forming underneath on the right and back when looking top to bottom ","R8-1-F_07112022.jpeg",2.421,7.69,"R",8,"1","4/15/2022",8,"no","no",2,"",38,4,91,92,94,87,3,1
"R8-2-C","Current",8,1,"Current2","7/13/2022","7/13/2022",0.088,66,42,24,20.2,0.1075,"7/17/2022","",22,26,0.5711,0.0692,0.0117,"Has new shoot in back underneath when looking top to bottom at tray. ","R8-2-C_07132022.jpeg",2.991,9.289,"R",8,"2","4/16/2022",8,"no","no",3,"",34,5,93,93,97,88,4,0
"R8-2-F","Future",8,1,"Future1","7/10/2022","7/11/2022",0.0612,78,51,27,19.2,0.0741,"7/13/2022","",21,30,0.4137,0.0493,0.011,"Has new shoot in center underneath when looking top to bottom at tray. 6/13= looks bigger","R8-2-F_07102022.jpeg",2.297,8.02,"R",8,"2","4/15/2022",8,"no","no",5,"",46.5,4,90,91,93,86,3,1
"R8-3-C","Current",8,2,"Current3","7/8/2022","7/8/2022",0.0696,61,24,21,16.5,0.0808,"7/8/2022","",21,24,0.3445,0.043,0.0103,"","R8-3-C_07082022.jpeg",2.446,8.203,"R",8,"3","4/15/2022",8,"no","no",3,"",40.5,4,88,88,88,84,0,0
"R8-3-F","Future",8,2,"Future4","7/9/2022","7/11/2022",0.0488,75,56,29,17.7,0.0581,"7/13/2022","SB harvested root, didn't notice losing roots, but 1 large root stops suddenly ",25,41,0.4977,0.0646,0.0091,"Has new shoot in back underneath when looking top to bottom at tray. 6/13= bigger and lots of new","R8-3-F_07092022.jpeg",1.95,7.477,"R",8,"3","4/15/2022",9,"no","no",4,"",41,4,89,91,93,85,4,2
"R8-4-C","Current",8,2,"Current4","7/8/2022","7/8/2022",0.034,60,30,30,17.5,0.0389,"7/9/2022","",14,18,0.2128,0.0308,0.005,"6/13= has new leaf growing underneath to the left when looking top to bottom ","R8-4-C_07082022.jpeg",1.303,5.445,"R",8,"4","4/16/2022",7,"no","no",3,"",35,5,88,88,89,83,1,0
"R8-4-F","Future",8,2,"Future4","7/10/2022","7/11/2022",0.0638,90,59,31,16.8,0.0829,"7/13/2022","",22,29,0.4921,0.0631,0.0104,"Has new shoot underneath to the left when looking top to bottom at tray. 6/13= bigger ","R8-4-F_07102022.jpeg",2.378,8.882,"R",8,"4","4/15/2022",8,"no","no",2,"",50,4,90,91,93,86,3,1
