Weigh Order,Population,Line,Replicate,Treatment,Pot ID,LeafNum_ 07222021,Notes,LeafNum_08262021,NumRemoved_08262021,RosetteLeafNum_10042021,StalkLeafNum_10042021,notes,RosetteLeafNum_bolt,notes,RosetteLeafNum_Flower,StalkLeafNum_Flower,notes,,,,,,
43,BELM,15,1,Future,B15-1-F,10,,21,n,34.00,0.00,,,,,,flowered 9/30,,,,,,
44,RODA,9,2,Future,R9-2-F,7,,16,n,33.00,0.00,,36,,,,,,,,,,
45,BELM,1,2,Future,B1-2-F,10,,22,n,28.00,10.00,,,,,,flowered 10/5,,,,,,
46,BELM,8,1,Future,B8-1-F,9,,22,n,34.00,10.00,,,,34,0,,,,,,,
47,BELM,12,1,Future,B12-1-F,0,,0,y,,,,,,,,,,,,,,
48,BELM,8,2,Future,B8-2-F,9,,20,n,32.00,0.00,,,,31,11,miscount? Or one up stalk,,,,,,
49,BELM,13,2,Future,B13-2-F,4,dying,0,y,,,,,,,,,,,,,,
50,BELM,2,2,Future,B2-2-F,4,,9,n,20.00,7.00,,,,20,10,,,,,,,
,TEST,-,-,NONE,TEST,,,,,,,,,,,,,,,,,,
,Test2,-,2,NONE,Test2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
