Weigh Order,Population,Line,Replicate,Treatment,Pot ID,Soil Mix Batch Number,Emergence,notes,Bolting,Flowering,Wilted_Died,,,,,,,
29,RODA,11,2,Future,R11-2-F,5,6/27/2021,,10/17/2021,10/26/2021,,,,,,,,
18,RODA,11,1,Future,R11-1-F,7,6/28/2021,,10/19/2021,10/26/2021,,,,,,,,
13,RODA,8,2,Current,R8-2-C,1,6/29/2021,,10/14/2021,10/27/2021,,,,,,,,
37,RODA,26,1,Current,R26-1-C,3,7/1/2021,,10/14/2021,10/27/2021,,,,,,,,
15,RODA,8,2,Future,R8-2-F,1,6/27/2021,,10/21/2021,10/27/2021,7/26/2021,,,,,,,
29,RODA,11,2,Current,R11-2-C,6,6/28/2021,,10/17/2021,10/28/2021,,,,,,,,
16,RODA,15,2,Future,R15-2-F,3,6/27/2021,,10/17/2021,10/28/2021,7/22/2021,,,,,,,
28,RODA,15,1,Future,R15-1-F,2,6/27/2021,,10/18/2021,10/28/2021,7/26/2021,,,,,,,
9,RODA,11,1,Current,R11-1-C,7,6/29/2021,,10/17/2021,10/29/2021,,,,,,,,
36,RODA,15,1,Current,R15-1-C,6,6/28/2021,,10/18/2021,10/29/2021,,,,,,,,
33,RODA,5,1,Current,R5-1-C,7,7/12/2021,slow or env,10/22/2021,10/29/2021,,,,,,,,
21,RODA,15,2,Current,R15-2-C,mix,6/29/2021,,10/14/2021,10/30/2021,,,,,,,,
10,RODA,47,1,Current,R47-1-C,3,7/8/2021,just super late.,10/20/2021,10/30/2021,-,,,,,,,
30,RODA,35,2,Current,R35-2-C,6,6/29/2021,maybe dead on 7/22,10/14/2021,11/2/2021,,,,,,,,
42,RODA,8,1,Future,R8-1-F,1,6/27/2021,,11/10/2021,11/16/2021,,,,,,,,
16,RODA,47,6,Current/Future,R47-6-CF,1,6/30/2021,,-,-,-,,,,,,,
1,BELM,4,1,Future,B4-1-F,2,7/5/2021,no cotelydons yet on 7/13,-,-,7/22/2021,,,,,,,
14,BELM,4,2,Future,B4-2-F,8,,genotype. Could be environment or bad seeds; not noted as empty in my check on 7/7 but is on 7/13,-,-,-,,,,,,,
47,BELM,12,1,Future,B12-1-F,6,,mixed results,-,-,7/22/2021,,,,,,,
