Population,Line,Replicate,Treatment,Pot ID,Leaf_Collected,FreshWt_g,SatWt_g,DriedWt_g,Notes,LeafArea,LeafPerimeter,Scale (pixels/cm),Notes
RODA,47,4,Current,R47-4-C,10/26/2021,0.1613,0.1955,0.0154,,5.83,16.754,,
RODA,9,1,Current,R9-1-C,10/26/2021,0.1208,0.1426,0.0113,,4.242,15.555,,
RODA,15,1,Current/Future,R15-1-CF,10/26/2021,0.0363,0.0497,0.0113,handwriting for dried is difficult to decipher,1.82,6.92,,
RODA,11,1,Future,R11-1-F,10/26/2021,0.0703,0.0815,0.0086,,3.307,10.522,,
RODA,11,2,Future,R11-2-F,10/26/2021,0.093,0.1043,0.0104,,4.359,12.506,,
RODA,47,5,Future,R47-5-F,10/26/2021,0.0526,0.0633,0.0074,,2.035,9.949,,
RODA,9,2,Future,R9-2-F,10/26/2021,0.056,0.0636,0.0063,,2.32,10.351,,
RODA,26,1,Current,R26-1-C,10/27/2021,0.1057,0.1171,0.0086,,4.157,14.359,,
RODA,8,2,Current,R8-2-C,10/27/2021,0.1191,0.1273,0.0104,,4.825,15.775,,
RODA,8,2,Future,R8-2-F,10/27/2021,0.038,0.0496,0.0045,not quite by 10.15,1.709,8.09,,
RODA,11,2,Current,R11-2-C,10/28/2021,0.1213,0.1306,0.0117,,4.763,14.203,,
RODA,15,1,Future,R15-1-F,10/28/2021,0.0619,0.071,0.0076,no 10/13,2.793,10.142,,
RODA,15,2,Future,R15-2-F,10/28/2021,0.0514,0.0584,0.0052,no 10/13,2.707,10.315,,
RODA,11,1,Current,R11-1-C,10/29/2021,0.1516,0.169,0.0141,,,,,MISSING
RODA,15,1,Current,R15-1-C,10/29/2021,0.2035,0.2256,0.018,,7.04,17.086,,
RODA,5,1,Current,R5-1-C,10/29/2021,0.0832,0.0916,0.0069,,3.633,15.449,,
RODA,15,2,Current,R15-2-C,10/30/2021,0.1059,0.1179,0.0095,,4.538,13.912,,
RODA,47,1,Current,R47-1-C,10/30/2021,0.1182,0.127,0.0099,,4.65,16.776,,
RODA,35,2,Current,R35-2-C,11/2/2021,0.1182,0.1302,0.0099,dropped :( leaf collection is still good,20.851,30.226,,
RODA,8,1,Future,R8-1-F,11/16/2021,0.0167,0.0188,0.00167,looks hydrated when leaf collected; dried on 10^-5 scale; was super late to flower,0.884,5.505,approx 240pixels/cm,global scale did not work here. Had to measure alone.
RODA,47,6,Current/Future,R47-6-CF,-,,,,dead after vern,,,,
BELM,12,1,Future,B12-1-F,-,,,,dead after vern,,,,
BELM,13,1,Future,B13-1-F,-,,,,dead after vern,,,,
BELM,13,2,Future,B13-2-F,-,,,,dead after vern,,,,
