Population,Line,Replicate,Treatment,Pot.ID,ImageJ_FruitCount,ImageJ_Counter,"bolting stalk (bent, broken, leaning, straight(",num lateral branches from main stalk,num primary stalks from rosette (main included),height main stalk (cm),total fruit num,num fruits collected,fruit collected location,done flowering,number flowers left,Notes,All Fruit Collected Weight (mg),seeds only weight,scanner position,scanned photo name,ImageJ_seed count,SeedCounter,BasiaFruitCount,Notes2
RODA,9,2,Current,R9-2-C,807,CC,bent,10,9,77,889,10,"5,7,9,11,13,18,20,22,24,26",n,52,"could keep going, 0 open",28.03,19.24,7,5,701,CC,707,
RODA,11,1,Current,R11-1-C,1192,EA,bent,11,14,73,1322,10,"3,5,8,11,13,18,20,22,24,26",n,111,"could keep going, 2 open",28.18,19.15,7,6,658,EA,1206,
RODA,11,2,Current,R11-2-C,748,CC,bent,11,10,65,835,10,"3,5,7,9,11,14,16,18,20,22",n,66,"could keep going, 1 open; 1 primary stalk counted as tiny",27.58,17.99,5,3,669,CH,742,
RODA,15,1,Current,R15-1-C,401,CC,bent,11,12,49,827,10,"3,4,8,10,13,15,17,19,21,22",n,108,has buds; 2 additional primary stalks noted as no flower,25.25,17.65,9,2,632,,702,
RODA,15,2,Current,R15-2-C,580,SB,bent,7,14,52.5,611,10,"5,10,12,14,16,19,21,24,26,28",n,20,and leaning; 5 primary stalks counted as tiny,26.6,16.84,3,1,586,,555,SB recounted 580 fruit on 8/15/2024; old was TX count of 935 from ImageJ
RODA,21,1,Current,R21-1-C,646,CC,bent,9,14,72,701,10,"6,8,10,12,14,16,18,20,22,24",n,89,2 primary stalks noted as tiny,29.31,19.4,12,2,739,,633,
RODA,21,2,Current,R21-2-C,485,TX,bent,10,8,64.5,738,10,"3,5,8,10,12,14,16,18,20,22",n,107,,28.87,20.32,11,2,718,,552,
RODA,26,1,Current,R26-1-C,627,CC,bent,9,10,70.5,658,10,"2,4,7,9,11,13,15,17,19,22",n,107,has buds; 1 primary stalk noted as tiny and an additional not counted stalk with no flowers. Labelled as R26-1-F - see raw datasheet last page for SB initial notes on choosing to put here,27.94,19.04,2,2,469,,560,
RODA,26,2,Current,R26-2-C,,EA,bent,10,13,75.5,880,10,"2,4,6,8,10,13,15,17,19,21",n,121,has buds; 5 primary stalks noted as tiny,,,,,,,777,Image not found in folder for counting
RODA,29,1,Current,R29-1-C,504,TM,bent,9,11,56,639,10,"4,6,9,13,18,20,22,24,26,29",n,70,,21.75,13.9,6,2,649,SB,547,
RODA,29,2,Current,R29-2-C,569,,bent,10,10,74,676,10,"4,6,9,12,14,16,18,20,22,26",n,52,2 primary stalks noted as tiny; 1 additional with no flowers was not counted; was statickly and lost some seeds during counting,34.08,22.67,4,1,558,,638,
RODA,33,2,Current,R33-2-C,567,TM,broken,12,12,61,901,10,"9,11,13,15,17,19,21,23,25,27",n,76,,23.76,14.54,2,7,628,CC,767,
RODA,35,1,Current,R35-1-C,513,CC,bent,9,12,70,636,10,"4,6,8,10.12.14.16.18.20,22",n,73,could keep going,31.11,20.86,11,6,686,CC,732,
RODA,35,2,Current,R35-2-C,550,CC,leaning,3,9,57,620,10,"1,6,9,11,14,16,18,20,22,25",n,43,no main stalk; has buds,24.77,17.11,5,2,639,SB,517,
RODA,40,1,Current,R40-1-C,474,TM,bent,10,12,69,679,10,"5,7,9,12,14,16,19,21,23,25",n,67,1 pirmary stalk is noted as tiny,30.28,20.4,9,5,711,CC,480,
RODA,40,2,Current,R40-2-C,555,TX,bent,9,11,71.5,627,10,"3,5,7,9,12,15,17,29,21,23",n,66,1 primary stalk was noted as tiny,27.54,18.56,5,1,714,,548,
RODA,47,1,Current,R47-1-C,498,CC,bent,8,9,62,565,10,"3,6,8,10,12,14,16,18,20,22",n,79,3 primarystalks were noted as tiny,25.71,17.41,7,2,697,,446,
RODA,47,2,Current,R47-2-C,425,CC,bent,9,9,71,714,10,"3,8,11,13,15,17,19,21,23,25",n,135,,29.87,20.15,TEST,TEST,554,SB,642,722 in IMG_001
RODA,47,3,Current,R47-3-C,558,TX,bent,10,12,70,715,10,"5,8,13,15,18,22,25,27,34,40",n,98,,28.12,18.83,8,4,707,,559,KB assumed
RODA,47,4,Current,R47-4-C,,,,,,,no fruits,,,,,harvested at flower,,,,,,,,
RODA,47,5,Current,R47-5-C,,,,,,,,,,,,harvested at flower,,,,,,,,
